ORF	cluster	gene_name
YBL079W	chromatin_GO_5	NUP170
YCL011C	chromatin_GO_5	GBP2
YDR155C	chromatin_GO_5	CPR1
YDR207C	chromatin_GO_5	UME6
YGL014W	chromatin_GO_5	PUF4
YHR115C	chromatin_GO_5	DMA1
YIR033W	chromatin_GO_5	MGA2
YJR060W	chromatin_GO_5	CBF1
YKR019C	chromatin_GO_5	IRS4
YML121W	chromatin_GO_5	GTR1
YMR080C	chromatin_GO_5	NAM7
YMR273C	chromatin_GO_5	ZDS1
YMR307W	chromatin_GO_5	GAS1
YNL135C	chromatin_GO_5	FPR1
YNL307C	chromatin_GO_5	MCK1
YOR233W	chromatin_GO_5	KIN4
YPL157W	chromatin_GO_5	TGS1
YPL254W	chromatin_GO_5	HFI1
YAR003W	chromatin_GO_4	SWD1
YBR175W	chromatin_GO_4	SWD3
YDL074C	chromatin_GO_4	BRE1
YDR310C	chromatin_GO_4	SUM1
YDR448W	chromatin_GO_4	ADA2
